Issue Type+AHw-Mapped Category
Change of Scope Proposals+AHw-Change of scope, Extension of Time, Dispute Resolution, Payments
Change of scope due to change in structural dimensions+AHw-Change of scope, Extension of Time, Dispute Resolution, Payments
change of scope due to local demand for additional structures, service road, utility ducts+AHw-Change of scope, Extension of Time, Dispute Resolution, Payments
Change of scope due to heavy rainfall and floods+AHw-Change of scope, Dispute Resolution, Extension of Time, Payments
Change of scope due to realignment+AHw-Change of scope, Dispute Resolution, Extension of Time, Payments
Change of scope due to redesign+AHw-Change of scope, Dispute Resolution, Extension of Time, Payments
Change of scope due to reconstruction of pavement+AHw-Change of scope, Payments, Extension of Time, Dispute Resolution
Extension of Time Proposals+AHw-Extension of Time, Dispute Resolution
Release of Retention Money+AHw-Payments
Policies during construction period (Workmen's Compensation Policy, CAR, etc.,)+AHw-Contractors Obligations
Permissions/licences for use of blasting/explosive materials for roadway excavation+AHw-Contractors Obligations
Payment of Royalty/Seignoirage charges for use of Minor Minerals+AHw-Contractors Obligations, Payments
Submission of Applicable permits as per Schedule+AC0-F+AHw-Contractors Obligations
Calibration of Machinery +ACY- Equipment present at site+AHw-Contractors Obligations
Obstruction/Halt of works by local farmers/ Land owners+AHw-Authoritys Obligations
Delay in payment of certified stage payment amounts+AHw-Authoritys Obligations, Payments
Inadequate Manpower/ staff at site+AHw-Contractors Obligations, Payments
Inadequate machinery at site+AHw-Contractors Obligations, Payments
Relaxation for schedule+AC0-H payment criteria+AHw-Payments
Clearances from Environmental +ACY- Forest Departments+AHw-Authoritys Obligations
Repairs to existing PWD roads +AHw-Contractors Obligations, Payments
usage of unapproved materials in the construction works+AHw-Others
Demands by local villagers for additional structures/service road/utility ducts+AHw-Change of scope, Extension of Time, Dispute Resolution, Payments
Clearances from Irrigation department for construction of Canal Bridges+AHw-Others
High Embankment slope protection works +AHw-Contractors Obligations, Others, Payments
Slope protection for Hill Cutting works+AHw-Contractors Obligations, Others, Payments
Delay in payment of stage payments+AHw-Payments
Tests on completion+AHw-Contractors Obligations
Punchlist items+AHw-Contractors Obligations
Provisional completion certificate+AHw-Authoritys Obligations
Completion certificate+AHw-Authoritys Obligations
Repairs to road furniture during maintenance period+AHw-Contractors Obligations
Rectification of defects at toll plaza (Static weigh bridges/ In motion weigh bridges/ ATMS/ HTMS)+AHw-Contractors Obligations
Fly ash supply+AHw-Others, Extension of Time, Payments, Contractors Obligations
Pond ash supply+AHw-Others, Extension of Time, Payments
Joint inspection+AHw-Appointed Date, Contractors Obligations, Authoritys Obligations
Memorandum +ACY- Appendix+AHw-Appointed Date, Contractors Obligations, Authoritys Obligations
Utility shifting+AHw-Authoritys Obligations, Contractors Obligation, Extension of Time
Declaration of Appointed Date+AHw-Appointed Date
Contractors representative+AHw-Contractors Obligations
Providing Right of Way as per Schedule A+AHw-Authoritys Obligations, Extension of Time, Dispute Resolution
Model code of conduct+AHw-Extension of Time
Modification of Appointed Date+AHw-Appointed Date, Extension of Time, Dispute Resolution
Dismantling of structures+AHw-Authoritys Obligations, Extension of Time, Payments
Authority Engineer+AHw-Authoritys Obligations
Mobilisation of Authority Engineer+AHw-Authoritys Obligations
Submission of Plan +ACY- Profile+AHw-Contractors Obligations
Submission of Design and Drawings+AHw-Contractors Obligations
Providing Right of Way in terms of length of Project Highway +AHw-Authoritys Obligations, Appointed Date
Letter of Award+AHw-Authoritys Obligations, Others
Filing of affidavit+AHw-Others
Settlement Agreement+AHw-Dispute Resolution, Payments, Extension of Time
DRB+AHw-Dispute Resolution
Arbitration+AHw-Dispute Resolution
Price escalation+AHw-Payments, Extension of Time
Court's decision+AHw-Extension of Time, Others
BorRight of way area+AHw-Contractors Obligations
Damages+AHw-Payments, Dispute Resolution
DLP+AHw-Contractors Obligations
Maintenance period+AHw-Contractors Obligations
Bonus+AHw-Payments, Extension of Time, Dispute Resolution
Tree cutting+AHw-Contractors Obligations, Authority Obligations, Extension of Time
Labour License +AHw-Contractors Obligations
Change in law reimbursement+AHw-Payments
Change of Scope Approval/order+AHw-Payments, Change of scope, Extension of Time, Dispute Resolution
Change of scope Approval revisit +AHw-Payments, Dispute Resolution, Change of scope, Extension of Time
Change of scope request for additional works or works not in the scope+AHw-Payments, Dispute Resolution, Change of scope, Extension of Time
Change of scope proposals clarifications+AHw-Payments, Dispute Resolution, Change of scope, Extension of Time
Delay due to Change of Scope approval+AHw-Extension of Time, Payments, Dispute Resolution, Change of scope
Delay due to Change of Scope works+AHw-Extension of Time, Payments, Dispute Resolution, Change of scope
Design +ACY- Drawings for Change of Scope works+AHw-Extension of Time, Payments, Dispute Resolution, Change of scope, Others
Descoping/deletion of works under original scope+AHw-Payments, Dispute Resolution, Change of Scope
Stoppage of Works by locals/public+AHw-Extension of Time, Authoritys Obligations
Descoping of a work from the scope of additional works under Change of Scope+AHw-Payments, Extension of Time, Dispute Resolution, Change of Scope
Progress Review+AHw-Extension of Time, Payments, Others
Delay in construction activities+AHw-Extension of Time, Dispute Resolution
Request for revisit of Extension of Time determined/approved+AHw-Extension of Time, Dispute Resolution
Submission of additional information/clarifications on Extension of time proposal+AHw-Extension of Time, Dispute Resolution
Disputing the issue pursuant to Article 26+AHw-Dispute Resolution
Right of way+AHw-Authoritys Obligations, Extension of Time, Dispute Resolution
Under utilisation / idling of resources+AHw-Payments, Extension of Time, Dispute Resolution
Mobilisation of additional resources+AHw-Payment, Dispute Resolution
Additional Change of Scopet / compensation+AHw-Payments, Dispute Resolution
Releasing of pending/ outstanding amount+AHw-Payments, Dispute Resolution
Cure period Notice+AHw-Payments, Dispute Resolution
Demobilisation and Remobilisation+AHw-Extension of Time, Payments, Dispute Resolution
Release of Performance security+AHw-Payment, Dispute Resolution
Topography/GExtension of Timeech survey+AHw-Contractors Obligations
Delay in commencement/starting of work+AHw-Extension of Time, Payments, Dispute Resolution
Preliminary / preparatory works +AHw-Contractors Obligations
Handing over of cut tree/ salvaged material to the concerned authority+AHw-Contractors Obligations, Others
Pending approvals+AHw-Others, Extension of Time, Payments
Trial patch+AHw-Contractors Obligations
Black spots+AHw-Change of  Scope, Extension of Time
Source / vendor / Manufacturer / supplier credential submission and approval+AHw-Contractors Obligations
Requirement of Additional land+AHw-Authoritys obligations
Releasing of Bank Guarantee submitted against mobilization advance+AHw-Authoritys obligations, Others
Delinking impacted length+AHw-Authoritys Obligations, Payments, Dispute Resolution
Contractors delay in submission of Change of Scope Proposals+AHw-Change of Scope, Contractors Obligations, Dispute Resolution
Contractors delay in commencing the Change of Scope works+AHw-Change of Scope, Contractors Obligations, Dispute Resolution
Rejection of Change of Scope request by Authority Engineer/Authority+AHw-Change of scope,Payments,Dispute Resolution,Extension of Time
